text,intent,entities
"I need a transaction report from 02/03/2023 to 03/03/2023 for store number 555 and rx number 444.",RequestTransactionReport,"startDate:02/03/2023;endDate:03/03/2023;storeNumber:555;rxNumber:444"
"Please generate a report for store 123.",RequestTransactionReport,"storeNumber:123"
"Yes.",Confirm,""
"Cancel.",Cancel,""
"I need a transaction report.",RequestTransactionReport,""
"Generate a report for rx number 987.",RequestTransactionReport,"rxNumber:987"
"Report for store 321 from 01/01/2023 to 01/31/2023.",RequestTransactionReport,"storeNumber:321;startDate:01/01/2023;endDate:01/31/2023"
"I need a transaction report from 04/01/2023 to 04/30/2023.",RequestTransactionReport,"startDate:04/01/2023;endDate:04/30/2023"
"Generate a report for store number 789 and rx number 654.",RequestTransactionReport,"storeNumber:789;rxNumber:654"
"Please create a transaction report for store 456 from 02/01/2023 to 02/28/2023.",RequestTransactionReport,"storeNumber:456;startDate:02/01/2023;endDate:02/28/2023"
"I need a report from 03/01/2023 to 03/31/2023 for rx number 222.",RequestTransactionReport,"startDate:03/01/2023;endDate:03/31/2023;rxNumber:222"
"Transaction report for store number 111 from 05/01/2023 to 05/31/2023.",RequestTransactionReport,"storeNumber:111;startDate:05/01/2023;endDate:05/31/2023"
"Please generate a report for rx number 333.",RequestTransactionReport,"rxNumber:333"
"Yes, please generate the report.",Confirm,""
"No, I want to cancel the report.",Cancel,""
"I need a detailed report for store number 222 and rx number 123.",RequestTransactionReport,"storeNumber:222;rxNumber:123"
"Report for rx number 444 from 06/01/2023 to 06/30/2023.",RequestTransactionReport,"rxNumber:444;startDate:06/01/2023;endDate:06/30/2023"
"Create a report for store 789 from 07/01/2023 to 07/31/2023.",RequestTransactionReport,"storeNumber:789;startDate:07/01/2023;endDate:07/31/2023"
"Generate transaction report for rx number 555.",RequestTransactionReport,"rxNumber:555"
"I need a report from 08/01/2023 to 08/31/2023.",RequestTransactionReport,"startDate:08/01/2023;endDate:08/31/2023"
"Cancel the report generation.",Cancel,""
"Can you create a report from 02/02/2023 to 03/03/2023 for store number 123?",RequestTransactionReport,"startDate:02/02/2023;endDate:03/03/2023;storeNumber:123"
"I want a report for store number 321 and rx number 654 from 01/01/2023 to 01/31/2023.",RequestTransactionReport,"storeNumber:321;rxNumber:654;startDate:01/01/2023;endDate:01/31/2023"
"Get me a transaction report for the dates 04/01/2023 to 04/30/2023.",RequestTransactionReport,"startDate:04/01/2023;endDate:04/30/2023"
"I need the report for store 999.",RequestTransactionReport,"storeNumber:999"
"Generate a transaction report from 05/01/2023 to 05/31/2023 for rx number 888.",RequestTransactionReport,"startDate:05/01/2023;endDate:05/31/2023;rxNumber:888"
"Create a detailed report from 06/01/2023 to 06/30/2023 for store 333.",RequestTransactionReport,"startDate:06/01/2023;endDate:06/30/2023;storeNumber:333"
"Please make a report for rx number 777 from 07/01/2023 to 07/31/2023.",RequestTransactionReport,"rxNumber:777;startDate:07/01/2023;endDate:07/31/2023"
"I need a report for store 444 for the dates 08/01/2023 to 08/31/2023.",RequestTransactionReport,"storeNumber:444;startDate:08/01/2023;endDate:08/31/2023"
"Give me the report for store 555 from 09/01/2023 to 09/30/2023.",RequestTransactionReport,"storeNumber:555;startDate:09/01/2023;endDate:09/30/2023"
"I want to cancel my report request.",Cancel,""
"Yes, generate the report.",Confirm,""
"I need a transaction report for store number 666 and rx number 999 from 01/01/2023 to 02/28/2023.",RequestTransactionReport,"storeNumber:666;rxNumber:999;startDate:01/01/2023;endDate:02/28/2023"
"Generate a report from 02/01/2023 to 02/28/2023 for store number 777.",RequestTransactionReport,"startDate:02/01/2023;endDate:02/28/2023;storeNumber:777"
"Please create a transaction report for the dates 03/01/2023 to 03/31/2023.",RequestTransactionReport,"startDate:03/01/2023;endDate:03/31/2023"
"I want a report for store number 222 and rx number 333 from 01/01/2023 to 01/31/2023.",RequestTransactionReport,"storeNumber:222;rxNumber:333;startDate:01/01/2023;endDate:01/31/2023"
"I need a transaction report from 02/01/2023 to 02/28/2023.",RequestTransactionReport,"startDate:02/01/2023;endDate:02/28/2023"
"Generate a detailed report for store number 444.",RequestTransactionReport,"storeNumber:444"
"Please create a report for rx number 555 and store 666.",RequestTransactionReport,"rxNumber:555;storeNumber:666"
"I need a report from 03/01/2023 to 03/31/2023.",RequestTransactionReport,"startDate:03/01/2023;endDate:03/31/2023"
"Transaction report for store 777 and rx 888.",RequestTransactionReport,"storeNumber:777;rxNumber:888"
"Can you generate a report for store 999?",RequestTransactionReport,"storeNumber:999"
"I want a detailed report from 04/01/2023 to 04/30/2023 for rx number 111.",RequestTransactionReport,"startDate:04/01/2023;endDate:04/30/2023;rxNumber:111"
"Yes, go ahead with the report generation.",Confirm,""
"No, cancel the report.",Cancel,""
"I need a transaction report for store 222 from 05/01/2023 to 05/31/2023.",RequestTransactionReport,"storeNumber:222;startDate:05/01/2023;endDate:05/31/2023"
"Generate a report for rx number 333 from 06/01/2023 to 06/30/2023.",RequestTransactionReport,"rxNumber:333;startDate:06/01/2023;endDate:06/30/2023"
"Create a report for store 444 from 07/01/2023 to 07/31/2023.",RequestTransactionReport,"storeNumber:444;startDate:07/01/2023;endDate:07/31/2023"
"Transaction report for rx number 555 from 08/01/2023 to 08/31/2023.",RequestTransactionReport,"rxNumber:555;startDate:08/01/2023;endDate:08/31/2023"
"Generate a report from 09/01/2023 to 09/30/2023 for store 666.",RequestTransactionReport,"startDate:09/01/2023;endDate:09/30/2023;storeNumber:666"
"Please create a report for rx number 777.",RequestTransactionReport,"rxNumber:777"
"I need a report for store 888.",RequestTransactionReport,"storeNumber:888"
"Can you generate a transaction report from 10/01/2023 to 10/31/2023?",RequestTransactionReport,"startDate:10/01/2023;endDate:10/31/2023"
"Report for rx number 999 from 11/01/2023 to 11/30/2023.",RequestTransactionReport,"rxNumber:999;startDate:11/01/2023;endDate:11/30/2023"
"Create a report for store 111 from 12/01/2023 to 12/31/2023.",RequestTransactionReport,"storeNumber:111;startDate:12/01/2023;endDate:12/31/2023"
"Generate a report for rx number 222.",RequestTransactionReport,"rxNumber:222"
"I need a report for store 333 from 01/01/2024 to 01/31/2024.",RequestTransactionReport,"storeNumber:333;startDate:01/01/2024;endDate:01/31/2024"
"Transaction report for rx number 444 from 02/01/2024 to 02/29/2024.",RequestTransactionReport,"rxNumber:444;startDate:02/01/2024;endDate:02/29/2024"
"I need a report from 03/01/2024 to 03/31/2024 for store 555.",RequestTransactionReport,"startDate:03/01/2024;endDate:03/31/2024;storeNumber:555"
